Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
15378500,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,90,02,
15428200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
15478400,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,B0,20,
15527900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
15578200,000003A1,false,Rx,0,8,C3,FF,FF,BB,3E,00,D0,4A,
15627900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
15678400,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,F0,66,
15728200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
15778200,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,10,8C,
15828400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
15878200,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,30,A6,
15927900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
15978400,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,50,CC,
16027900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
16078400,000003A1,false,Rx,0,8,C3,FF,FF,C9,3E,00,70,F8,
16128200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
16178400,000003A1,false,Rx,0,8,C3,FF,FF,AD,3E,00,90,FC,
16228000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
16278400,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,B0,22,
16327900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
16378700,000003A1,false,Rx,0,8,C3,FF,FF,A7,3E,00,D0,36,
16427900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
16478200,000003A1,false,Rx,0,8,C3,FF,FF,C3,3E,00,F0,72,
16528400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
16578200,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,10,82,
16627900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
16678500,000003A1,false,Rx,0,8,C3,FF,FF,A7,3E,00,30,96,
